culture_nom,type_culture,surface,days_late,total_days,storm_days,rain_days,heat_days,frost_days,high_hum_days,high_wind_days,avg_temp,avg_humidity,avg_wind,actual_quantite
Oignon,Légumes,125.27563032366605,21,32,1,2,4,0,3,2,21.283802804338738,35,0.0,235.89838582290952
Avoine,Céréales,210.92390558834717,0,44,1,5,2,0,2,0,23.171578188878637,56,16.161990742922544,64.2874895545982
Lentille,Légumes,144.3258529074181,0,30,0,4,0,0,6,0,28.46706013447109,41,11.692301183946643,35.88807828440029
Orange,Fruits,392.6107937143335,0,22,1,6,1,0,7,0,24.330845205109245,33,27.51796465835456,6712.20271195199
Jasmin,Ornementales,492.2507798245199,0,38,1,2,3,2,5,0,15.847539233332574,51,32.284208122801516,843.2173390638357
Lentille,Légumes,433.8991136362177,0,70,0,1,3,1,4,3,23.420956700728166,88,15.465617016314072,110.22272065944509
Blé,Céréales,108.75213794226777,0,81,1,5,1,0,1,1,22.58562395497264,45,14.707276933001069,38.039786829364346
Blé,Céréales,442.2657844611845,3,34,0,4,2,0,4,1,27.357134897937733,48,13.810534474086367,127.01273062668106
Orange,Fruits,288.72856463831636,0,33,0,3,3,0,2,1,19.29169329421363,61,7.0465881553396486,6323.4017239151235
Maïs,Céréales,464.70559800125386,3,84,0,2,3,0,3,0,21.952572907760583,64,16.992354151532652,280.53687674550935
Lentille,Légumes,25.753053023396596,0,55,0,3,3,1,5,0,19.227237548965327,69,29.326388429911198,6.717327776008325
Pomme de terre,Légumes,431.38556641378693,3,42,0,7,1,0,6,0,27.273724166205355,37,6.897032502345608,1095.3902307280578
Jasmin,Ornementales,382.07713901096986,21,54,0,2,1,0,1,1,13.61822765349321,69,9.153893775637618,532.3410002560507
Lentille,Légumes,447.5957175290938,10,20,0,3,4,0,3,0,19.259140115568016,61,0.0,87.2820398444182
Blé,Céréales,309.09801349541056,3,72,1,1,2,0,5,1,25.714630110789116,42,20.323701007270305,102.02048734716718
Framboise,Fruits,453.8920872207114,21,28,0,2,3,0,4,0,18.501309566183853,44,28.662252008585284,701.7536728645738
Laurier-rose,Ornementales,117.59400017902476,5,47,2,4,4,0,2,1,23.472226053971994,33,13.460368663630781,314.64740253354336
Pomme de terre,Légumes,228.73085115041764,10,74,1,3,1,0,3,0,22.628140179328756,85,6.596437919787961,805.9803285242689
Laurier-rose,Ornementales,63.246815694091545,0,11,0,4,1,0,2,2,27.791022956371997,61,23.920109373657567,184.68117823245444
Pomme,Fruits,465.2896898128243,3,88,0,2,2,0,5,0,31.54131283373068,62,19.71916924895968,5843.623323686795
Laurier-rose,Ornementales,217.59100906979648,0,84,0,4,2,0,3,1,19.22466570205252,74,10.063021228935169,673.6661521787502
Pomme,Fruits,180.94171950273477,0,34,0,3,2,0,3,3,15.442628553407504,38,37.22359941995649,2734.640258512052
Framboise,Fruits,264.3919451080175,10,52,0,1,2,0,2,0,14.283219779747254,59,20.53752562990502,353.3023632851497
Pomme de terre,Légumes,53.9683260932131,0,58,0,6,6,1,4,3,17.211079853471,63,23.904549320538823,222.38763648465624
Blé,Céréales,229.62588290987142,0,31,0,4,2,0,3,1,22.588011484596297,95,16.219607082685233,81.61185962041965
Pêche,Fruits,79.63092366730491,10,84,0,4,2,0,3,1,15.546566283141907,63,26.00959284699897,793.2243337346516
Pomme,Fruits,297.9411375799911,0,67,0,1,5,0,6,1,24.886171988581932,67,26.030068534266764,4109.862739751653
Riz,Céréales,331.17510243280066,0,45,3,3,0,0,3,1,17.11965752591994,51,18.23140806427204,178.76009945908416
Maïs,Céréales,297.8845513523619,0,87,0,2,4,0,6,3,22.905529160838977,68,41.85863766417626,273.66218969619047
Lentille,Légumes,102.17107177946214,0,81,1,3,3,0,1,1,21.671773378904373,77,9.63418025130343,24.835982955483562
Pomme de terre,Légumes,241.10369340594556,0,48,0,3,2,0,2,0,20.714350344673207,32,15.445187511451827,1008.6373952387773
Laurier-rose,Ornementales,207.6040556358686,0,69,0,2,3,1,5,0,28.848884608619308,78,15.733950169409004,716.2682880513162
Maïs,Céréales,42.53515673120453,21,79,1,0,0,1,6,1,30.212707791421376,60,24.961207080887856,23.0587308376466
Banane,Fruits,215.10164776711258,0,14,0,2,1,0,5,0,21.798379360263148,52,20.846612807327638,5739.994558640776
Carottes,Légumes,31.991358013375535,0,69,0,3,3,0,8,0,31.428014896494204,83,10.019764067061223,103.67094199130555
Avoine,Céréales,248.68655575904663,2,37,0,1,1,0,4,2,20.35777602509339,71,4.671351216472928,64.62097181224856
Riz,Céréales,351.66409429666527,0,86,0,4,1,0,2,1,19.323583729246998,74,22.811731656434795,171.8082108080836
Banane,Fruits,273.3787546432302,3,12,0,4,1,0,7,1,22.605620750410928,77,41.06884733278146,4233.15539358636
Orange,Fruits,257.52516348078683,21,28,0,5,3,2,4,3,19.58102393841971,68,11.724157592653386,2343.687483558395
Banane,Fruits,236.67402974829605,3,64,0,1,1,0,3,1,19.23384231651497,53,23.277464699519495,4791.720894900141
Oignon,Légumes,416.2529158345924,0,60,1,1,4,0,4,1,17.789398322399304,71,12.380084761730096,1413.579772846404
Tomates,Légumes,325.4328280578938,1,70,0,1,1,0,6,0,23.297228057936127,72,21.237400144113902,2298.6729893582155
Laurier-rose,Ornementales,377.9942889124533,1,76,0,3,1,1,1,1,18.748099598642845,77,25.42195285724256,1140.2664932247267
Orange,Fruits,329.7579533658701,14,79,0,2,4,1,3,0,21.35059997006216,53,0.0,4440.037307722318
Riz,Céréales,142.8575642551943,0,49,0,8,2,0,4,1,29.597827343016192,80,10.088936844126495,87.62974680794318
Rosier,Ornementales,291.6858305935898,7,32,0,9,3,0,4,2,14.014736484319055,34,28.237209270437923,1083.4095051085624
Tulipe,Ornementales,205.33596221817342,1,47,0,4,2,0,4,2,22.031937162710204,77,32.07425028311201,1492.5680280904453
Jasmin,Ornementales,436.6593529257533,0,78,0,5,1,1,3,2,16.29678275688555,57,24.498153265565342,730.2089970928344
Fraise,Fruits,211.06726586053037,0,23,1,2,0,0,4,2,11.359512767141915,66,32.328637433090094,782.1383142403017
Tulipe,Ornementales,393.55306054749013,0,24,0,1,3,1,6,0,27.012261963413387,77,22.108646020880872,2873.6301168603895
Tomates,Légumes,422.1488316071175,10,89,0,2,3,0,1,0,23.0542027369891,79,2.6538850306280466,2749.61681813806
Tomates,Légumes,274.1924632549289,5,56,0,2,4,0,4,0,11.341794166922675,75,31.600928466435505,2230.9306603982723
Jasmin,Ornementales,91.21894395275274,0,13,1,0,0,0,5,0,17.83320854844788,35,14.664804743171207,194.04518965719348
Tomates,Légumes,408.1330067215027,0,51,0,5,1,0,4,1,24.308611265229956,61,20.10802084856015,3178.3861513331203
Framboise,Fruits,221.34595794273775,0,75,0,6,2,0,4,1,23.669997637423027,39,13.656690064744545,514.8852585924101
Riz,Céréales,269.22930280955626,0,52,0,2,1,0,2,0,33.05290395140958,88,3.3564360666979915,201.5133303382158
Blé,Céréales,53.33499694458084,0,87,0,4,4,1,4,0,30.585514112946115,80,22.433989164005393,16.055492803742865
Banane,Fruits,13.666668092315641,21,79,1,5,1,1,2,0,22.70188140414332,26,6.778040339125512,143.5448211781631
Avoine,Céréales,92.63599208443952,3,32,0,4,1,1,2,0,18.17063723274565,50,13.377551806754074,20.812482510911124
Framboise,Fruits,136.00373227508055,2,84,0,2,2,1,7,1,15.88143888771122,73,12.780054602632884,331.2451414370894
Pomme,Fruits,309.0995865224019,3,73,1,4,1,1,2,2,29.590959672929962,60,17.065969089360262,4195.282674627589
Lentille,Légumes,352.11321991168086,7,52,2,2,3,0,5,0,12.40030399549393,81,13.183854474695663,95.35317610171163
Salades,Légumes,12.44263299429172,0,24,1,8,1,0,5,0,30.302322167157996,69,36.27401339464686,40.64565661007795
Pomme de terre,Légumes,228.55554242264665,0,83,0,2,6,0,2,3,18.5997218481391,50,30.57189270241366,945.8920892387675
Oignon,Légumes,438.6633455942865,0,83,2,0,0,0,3,3,14.622955615842413,65,30.915836193774723,1392.6923565794862
Salades,Légumes,135.04139102383567,0,40,1,3,1,0,3,1,19.292947856563515,42,15.583082058270058,427.69911419309847
Framboise,Fruits,58.17512965167357,5,13,1,1,2,0,5,1,21.946396792648176,34,7.411935403156635,135.9745003795648
Carottes,Légumes,172.5571631050192,0,13,0,4,3,0,6,0,26.68708723134245,75,19.292844082755373,542.5193084047303
Maïs,Céréales,469.1373504293692,7,30,0,1,0,0,3,0,17.05521567196314,41,23.33549011636205,368.8624399410435
Salades,Légumes,56.108660251750095,2,55,3,3,0,0,4,0,40.190574490663806,56,22.551933517560165,172.60277904150865
Avoine,Céréales,144.38031225687044,2,74,1,3,3,0,1,0,25.28000219569891,68,26.766145517765253,36.9756950136774
Fraise,Fruits,285.8532965540954,14,67,0,2,5,0,2,0,25.389503687637472,70,6.320577226181372,688.4799913095387
Jasmin,Ornementales,45.17077559977668,0,48,0,1,2,1,7,1,23.922697083076226,75,14.516544621349816,88.09719591888727
Blé,Céréales,216.31690736789892,3,13,0,4,4,1,3,0,19.30673427831769,82,9.247116197786253,70.86067788625812
Maïs,Céréales,469.08420461111217,1,53,1,1,0,0,1,1,16.93714012885166,39,28.723486799617685,421.01248133783224
Maïs,Céréales,258.17192214420584,10,56,1,0,1,0,6,0,21.766424797090956,55,11.81502397589615,211.79380797918185
Tomates,Légumes,389.1863830463103,0,41,0,1,2,0,5,1,19.563198127174086,44,17.82856386923686,3161.5464342916725
Carottes,Légumes,447.42597856818924,0,52,1,2,3,2,5,0,28.524727720890787,72,18.38278996958753,1354.4326815037819
Blé,Céréales,464.19587765423665,10,15,0,2,6,0,2,1,24.927948224827524,43,3.719577860487888,110.21116713783715
Framboise,Fruits,426.6390057261383,0,32,0,2,1,2,4,1,22.99367290139591,59,0.0,1057.0334918123576
Tulipe,Ornementales,102.05068861441369,0,13,0,5,2,0,4,1,17.986543959979485,58,24.261239468194262,742.8219648383719
Maïs,Céréales,313.66015459516575,7,41,0,4,5,0,8,1,8.828897520866748,29,21.29409536895869,218.0789831937697
Pomme de terre,Légumes,361.35791355586684,7,70,0,3,3,1,8,2,33.55007681041511,89,20.465131702147414,1219.860535004406
Laurier-rose,Ornementales,63.20740843256101,0,84,1,0,0,0,4,0,16.341040453783663,56,27.72211477352505,190.91402345849502
Avoine,Céréales,120.37142404795841,0,36,0,3,3,0,8,3,26.397451344625207,63,20.89508999763814,33.09462015605834
Tomates,Légumes,228.40900504626907,0,32,0,3,5,0,6,0,28.45433780496515,65,16.95522192253473,1843.021805376795
Pomme de terre,Légumes,73.71224755877248,0,50,0,1,1,0,5,1,24.111584624911945,67,6.642794906954306,330.7303450770801
Tomates,Légumes,230.94848090943088,0,21,1,4,4,1,3,1,26.30635365250038,61,7.439452071319618,1635.0337785073377
Rosier,Ornementales,131.06311776755228,0,78,0,2,1,0,3,3,25.87010013589036,90,20.784501307779113,642.2620853779109
Riz,Céréales,186.36701097775457,2,77,0,4,1,0,3,0,36.50683321669867,39,34.581708074791095,98.53302805794253
Orange,Fruits,29.066302179365316,0,58,0,4,0,0,4,0,20.406757152224582,64,13.724227587889708,449.16796682962297
Framboise,Fruits,381.60241553328603,14,86,2,7,4,1,5,2,26.314558276530022,69,23.479344771827105,642.3896827160329
Laurier-rose,Ornementales,54.167121198750685,0,67,0,3,3,0,3,1,33.841128620882024,44,26.10841031136689,143.29882686118657
Rosier,Ornementales,175.12344324473244,1,27,1,6,2,2,5,0,25.13416128300681,56,18.214280321061462,865.6862956577194
Fraise,Fruits,330.01413248904953,2,61,1,1,1,0,1,3,27.467368031143884,58,33.86992729908838,1291.558870587408
Framboise,Fruits,201.22672818412576,0,89,0,5,2,0,6,1,20.307825713260332,50,18.220424442543134,551.8764168814332
Oignon,Légumes,324.9354041932294,1,62,1,4,1,0,4,1,13.936606529851998,66,25.460892308314286,1090.4152178010186
Tomates,Légumes,168.8208651546955,21,32,0,3,0,0,2,1,19.138695861800333,83,16.25210847281742,856.5207624190663
Pêche,Fruits,237.17661990100578,0,87,0,4,4,0,2,0,20.170792822039555,52,17.54498510264499,3290.516913047545
Maïs,Céréales,441.8042756791374,10,52,1,4,3,0,5,1,20.087961456539176,57,6.172618297013733,303.76213227111117
Pomme,Fruits,27.65220434977057,3,49,0,3,0,0,3,0,15.105044256768185,60,15.918268240110459,409.19365433408484
Pomme de terre,Légumes,472.7409173873092,21,70,0,4,1,0,2,1,15.260932107472229,64,6.981772477789024,1134.390147365716
Framboise,Fruits,265.7247053868103,5,25,0,1,1,0,3,1,25.764963380031066,36,6.318771537466949,739.3781093218099
Tulipe,Ornementales,217.3123292871605,21,67,0,1,0,0,3,1,19.145505284124297,40,0.0,965.1735062658938
Maïs,Céréales,89.17352594204574,0,58,0,2,2,0,2,0,15.662407550255992,71,23.513096759879176,92.36030760663209
Oignon,Légumes,334.83154040572293,3,58,1,3,1,1,5,0,19.5536153703734,60,0.0,816.4081650243706
Lentille,Légumes,337.82834076057975,0,53,0,7,1,0,5,1,26.651375121104287,64,17.443602949522045,78.22357383644365
Oignon,Légumes,86.55820748271478,2,84,0,3,3,0,3,0,27.37131041335708,64,42.38831666414424,298.9674893842128
Lentille,Légumes,453.5444505445967,0,33,1,2,4,1,5,2,20.98642506205157,62,7.756965899577384,98.78672585974155
Blé,Céréales,244.8439573251622,1,54,2,3,4,0,1,1,24.39461923178952,51,25.72095723598482,85.87248113188284
Banane,Fruits,132.49350947396937,1,53,0,2,1,0,4,1,20.68243606444744,57,18.39707057176981,3102.0800059756225
Tulipe,Ornementales,356.3511951845539,21,34,0,7,4,0,2,2,24.617676719397185,56,25.649406535468145,1620.5493634310594
Laurier-rose,Ornementales,95.75243152202077,14,18,0,3,2,0,4,1,18.126420385253965,70,10.00015219189603,205.42357463402303
Lentille,Légumes,16.906376276309338,0,69,0,3,3,0,2,1,20.733337089693602,64,16.193751529336353,5.050344673559111
Pomme de terre,Légumes,243.3794261110037,0,50,1,1,2,0,3,0,14.010131439655101,40,25.332520212137634,760.7238382465451
Framboise,Fruits,148.73618742988046,14,50,1,8,0,0,3,0,36.134927089588906,59,23.84333959313408,278.0941691951816
Rosier,Ornementales,455.7988370519574,21,27,1,1,0,0,6,2,20.456092688405967,60,28.877062567839133,1480.8157056620157
Banane,Fruits,317.4485841526176,21,12,1,1,5,0,2,1,33.70083390505011,49,29.049185186938843,3737.0907073473286
Pomme,Fruits,470.462921531172,0,15,0,2,0,0,2,1,15.708450131034448,48,22.221322425494517,6850.356897401092
Framboise,Fruits,417.8364590665913,1,54,0,1,4,1,5,1,17.20398121405016,65,31.579690525655494,964.4590146290369
Avoine,Céréales,91.16020969604925,21,57,0,3,2,0,5,0,21.21763456648282,66,15.581442177071306,11.894011088132745
Pomme,Fruits,98.36762820372168,0,45,0,3,1,0,5,1,22.227279966937594,60,22.459473093961705,1438.8043514527524
Banane,Fruits,260.22370955254956,0,34,0,3,1,0,1,2,33.02137101897408,42,35.28560814293865,5894.281698695737
Pomme de terre,Légumes,157.87486253534965,0,46,0,3,2,0,6,1,17.495812380975032,72,16.373890495630828,573.3239788404144
Blé,Céréales,484.98340546230736,3,23,0,3,3,0,7,0,33.668573425902935,64,24.748163228630915,133.98188020783567
Banane,Fruits,271.4737676305352,0,89,2,2,3,0,3,1,21.506045930843598,79,14.667478173173034,5522.5743691415255
Pomme,Fruits,439.9392688160305,21,19,0,2,2,0,7,1,20.867534721932635,37,19.468435119302402,2683.263070234834
Blé,Céréales,434.18664732371485,3,66,0,0,0,1,4,0,15.53358185171642,66,20.193274236673897,171.1508608242384
Riz,Céréales,132.68453350501335,0,69,1,0,3,1,3,1,21.92782048060632,55,44.266677587313694,62.61326441844659
Rosier,Ornementales,412.47332680056076,0,83,0,2,6,1,3,2,16.181091620429047,64,6.269493404313582,1867.9723427402573
Maïs,Céréales,493.42913720182463,0,62,1,2,4,0,3,1,26.854704930313602,57,17.11094119147342,319.8933242341609
Orange,Fruits,426.23629113563896,3,79,0,2,1,0,1,1,32.76539067597152,37,19.92273718894318,7561.9897350817855
Pomme de terre,Légumes,29.08980681390036,0,31,2,4,0,0,4,2,31.741523067837317,65,24.623856588503198,124.46310036560126
Jasmin,Ornementales,438.69962823156874,0,65,0,1,2,0,1,2,21.384484322748524,84,23.11373129121661,924.7882985739525
Salades,Légumes,429.7218368031034,7,68,0,4,2,2,2,0,31.275378878671887,63,17.07295835578513,1412.8221241608144
Salades,Légumes,451.5788954318203,3,45,0,3,2,0,3,1,18.003905116237622,51,36.588971676113125,841.1996095281247
Pêche,Fruits,455.55764466373256,0,69,1,2,2,0,1,2,14.933261393794773,64,8.005981741759648,2844.49375036108
Rosier,Ornementales,276.99691039369674,14,47,1,5,2,0,3,1,18.273929471155753,45,3.7723266973347513,916.8485589681102
Oignon,Légumes,331.1907705938945,2,34,2,4,2,0,3,2,18.26062489932319,50,13.508768783617423,810.7785656892993
Lentille,Légumes,367.5441768612137,10,16,0,4,2,0,6,1,17.159522491326445,68,24.26447416198275,61.938245170222764
Oignon,Légumes,300.8704637458031,0,33,1,2,0,0,3,1,15.654071223262811,64,16.733766664321966,860.6466655002739
Framboise,Fruits,108.82712650742226,7,39,1,2,1,0,5,0,11.508891823098859,72,22.50323293190463,244.6120117518173
Framboise,Fruits,129.82292211838495,1,65,0,3,2,0,4,1,6.098658716210943,54,26.539478209229404,301.89683746073587
Fraise,Fruits,245.64497496892548,5,14,0,4,4,0,2,1,16.715692475731352,65,28.461734630278627,749.5411050149866
Tomates,Légumes,209.88305124685763,21,41,0,3,1,0,5,0,7.855075246076105,88,18.527116864654424,1036.725781867833
Carottes,Légumes,36.141981349139115,10,29,1,5,3,0,4,0,15.983328662325313,36,8.608439244657193,95.16786126918763
Pêche,Fruits,191.5202996869945,0,35,0,2,3,0,5,0,25.050251950107686,46,20.86510790787295,1920.007725860588
Tomates,Légumes,60.51874034180187,14,46,1,2,1,0,4,0,24.648152155179698,54,22.26059589102025,422.48038219435455
Blé,Céréales,207.39127659675052,0,28,0,2,2,0,8,1,21.430932358428986,48,25.00464524985118,72.70395965003144
Pomme de terre,Légumes,107.10390251499345,3,39,0,3,1,0,5,1,32.38857250619406,68,16.141612253883785,353.70227281939486
Tulipe,Ornementales,279.320567239691,21,58,0,1,1,1,4,0,17.021089706754825,58,1.7804177043191984,1490.8873724313344
Carottes,Légumes,83.26075234977608,1,18,1,2,3,1,6,3,25.519494024000892,62,2.884606248167767,324.3864022352117
Pomme de terre,Légumes,230.76450470071316,10,23,0,3,2,1,3,0,20.20308465525031,49,24.284829286558338,727.8774080026174
Orange,Fruits,114.77089584819313,0,72,1,1,3,0,6,2,21.27538853995596,57,28.247427465479674,1446.1633275627505
Jasmin,Ornementales,242.227764905273,3,27,0,0,2,0,6,1,15.944053470424931,44,19.970003565294604,504.0277636552974
Jasmin,Ornementales,95.45194173329378,0,81,0,0,3,0,3,2,27.345458889576747,49,32.19963294777054,174.89229017106865
Blé,Céréales,441.3738921862794,0,87,0,3,1,0,1,0,26.26164925882706,79,10.241616627649915,136.76263504436642
Tulipe,Ornementales,481.7199875645239,0,70,0,2,1,0,2,1,21.18683309323811,60,11.834563738032786,4332.058453623124
Jasmin,Ornementales,402.1217373683451,0,83,0,3,0,0,3,0,13.464228107501505,55,19.171029765184464,738.6371239634163
